n,gapII,family_gapII,iterations,runtime
10,1.1111111111111109385,1.3333333333333337035,0,211.95608900000001996ms
10,1.1111111111111109385,1.3333333333333334814,0,214.82227900000000887ms
10,1.1111111111111104944,1.3333333333333337035,0,185.52802800000000616ms
10,1.0909090909090903843,1.2727272727272724851,0,257.22572900000000118ms
10,1.1111111111111107164,1.3333333333333339255,0,184.24783400000001166ms
10,1.0909090909090901623,1.2727272727272738174,0,215.15361500000000206ms
10,1.0909090909090903843,1.2727272727272729292,0,240.97526400000000991ms
10,1.1111111111111107164,1.3333333333333337035,0,212.90753900000001409ms
10,1.1111111111111111605,1.3333333333333341475,0,206.41882100000000833ms
10,1.1111111111111113825,1.3333333333333348137,0,210.13062200000001667ms
10,1.1111111111111107164,1.3333333333333332594,0,164.89635700000002317ms
10,1.1111111111111104944,1.3333333333333330373,0,193.32140900000001694ms
10,1.1111111111111109385,1.3333333333333339255,0,195.46564300000000003ms
11,1.0909090909090901623,1.2727272727272727071,0,280.10776500000002898ms
11,1.1052631578947365032,1.315789473684211286,0,282.6034930000000145ms
11,1.0909090909090903843,1.2727272727272733733,0,251.66444800000002147ms
11,1.1052631578947365032,1.3157894736842106199,0,264.18459800000005089ms
11,1.0909090909090903843,1.2727272727272729292,0,259.72087900000002492ms
11,1.0909090909090901623,1.2727272727272727071,0,187.75730500000000234ms
11,1.1052631578947360592,1.3157894736842106199,0,280.49319200000002184ms
11,1.1052631578947365032,1.3157894736842106199,0,279.41462100000001101ms
11,1.0975609756097555181,1.2926829268292687747,0,258.84938000000005332ms
11,1.0909090909090903843,1.2727272727272729292,0,252.25712400000000458ms
11,1.0909090909090903843,1.272727272727272041,0,250.24758700000001ms
11,1.1111111111111111605,1.3333333333333345916,0,242.26744600000000674ms
11,1.0909090909090901623,1.2727272727272727071,0,259.12643500000001496ms
11,1.0909090909090901623,1.2727272727272742614,0,258.10772800000000871ms
11,1.1052631578947360592,1.3157894736842101758,0,253.87441300000000411ms
11,1.1052631578947362812,1.3157894736842103978,0,240.07391900000001784ms
11,1.1052631578947365032,1.3157894736842110639,0,242.63356800000002523ms
11,1.1142857142857138797,1.3333333333333334814,1,292.52891400000004297ms
11,1.0909090909090901623,1.272727272727272263,0,285.23393600000002835ms
11,1.0909090909090906064,1.2727272727272733733,0,219.84212500000001001ms
11,1.1052631578947362812,1.3157894736842108419,0,253.34148900000002414ms
11,1.0975609756097557402,1.2926829268292689968,0,256.13294300000001158ms
11,1.0909090909090906064,1.2727272727272731512,0,257.24044000000003508ms
11,1.0909090909090901623,1.2727272727272731512,0,258.31073600000001989ms
11,1.0909090909090906064,1.2727272727272731512,0,281.74079900000003818ms
11,1.0909090909090901623,1.2727272727272727071,0,275.45702700000003916ms
11,1.1034482758620685062,1.3103448275862072948,0,261.33430200000003652ms
11,1.0909090909090908284,1.2727272727272733733,0,261.13275600000002897ms
11,1.0975609756097555181,1.2926829268292689968,0,288.38474400000001197ms
11,1.1052631578947362812,1.3157894736842103978,0,292.14524000000000115ms
11,1.1052631578947367253,1.315789473684211508,0,212.06443700000002651ms
11,1.1111111111111107164,1.3333333333333337035,0,262.93839700000000903ms
11,1.1111111111111109385,1.3333333333333341475,0,246.10670600000000264ms
11,1.1052631578947362812,1.3157894736842106199,0,351.40832500000004757ms
11,1.1052631578947362812,1.315789473684211508,0,235.58274500000001695ms
11,1.0909090909090901623,1.2727272727272731512,0,292.92881800000003523ms
11,1.1052631578947365032,1.3157894736842117301,0,248.8478600000000256ms
11,1.1052631578947360592,1.3157894736842108419,0,272.90130300000004127ms
11,1.1052631578947360592,1.3157894736842103978,0,271.48221900000004326ms
11,1.1111111111111107164,1.3333333333333337035,0,228.88656400000002123ms
11,1.079999999999999405,1.2400000000000004353,0,257.9829620000000432ms
11,1.1052631578947360592,1.3157894736842103978,0,291.20745700000003354ms
11,1.0958904109589036047,1.2876712328767137006,0,307.36972900000000664ms
11,1.1052631578947365032,1.315789473684211508,0,284.9792990000000259ms
11,1.0909090909090906064,1.2727272727272727071,0,291.88365400000003547ms
11,1.1142857142857136577,1.2678571428571432378,1,241.0817480000000046ms
11,1.1052631578947362812,1.3157894736842108419,0,226.90012500000000273ms
11,1.0909090909090901623,1.272727272727272263,0,252.54185700000002158ms
11,1.0909090909090906064,1.2727272727272733733,0,289.22453100000001314ms
11,1.0975609756097555181,1.2926829268292687747,0,310.64460800000000518ms
11,1.1142857142857134357,1.2500000000000002221,2,344.30652700000001687ms
11,1.1052631578947365032,1.3157894736842119521,0,319.27972200000004933ms
11,1.1052631578947362812,1.3157894736842101758,0,226.74915900000002012ms
11,1.125,1.3333333333333334814,2,312.89883600000001707ms
11,1.1111111111111111605,1.3333333333333339255,0,203.32797600000000671ms
11,1.124999999999999556,1.3333333333333339255,2,287.39556800000002568ms
11,1.1111111111111109385,1.3333333333333339255,0,221.7798230000000217ms
11,1.1111111111111107164,1.3333333333333337035,0,250.43992500000001656ms
